,route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
315,RUT:Line:420,RUT:Authority:RUT,420,Maura -  Jessheim,,704,,76a300,ffffff
316,RUT:Line:41,RUT:Authority:RUT,41,Sørkedalen  - Røa T,,704,,e60000,ffffff
317,RUT:Line:413,RUT:Authority:RUT,413,Bestilling Nannestad,,704,,76a300,ffffff
318,RUT:Line:410,RUT:Authority:RUT,410,Nannestad -  Ask/ Veståsen,,704,,76a300,ffffff
319,RUT:Line:40,RUT:Authority:RUT,40,Øvre Sogn - Skøyen (- Fornebu),,704,,e60000,ffffff
320,RUT:Line:405,RUT:Authority:RUT,405,Kløfta - Ask terminal,,704,,76a300,ffffff
321,RUT:Line:400,RUT:Authority:RUT,400,Oslo lufthavn - Veståsen - Olavsgaard - Oslo,,704,,76a300,ffffff
322,RUT:Line:439,RUT:Authority:RUT,439,Bestillingslinje Ullensaker,,704,,76a300,ffffff
323,RUT:Line:438,RUT:Authority:RUT,438,Bestillingslinje Ullensaker,,704,,76a300,ffffff
324,RUT:Line:437,RUT:Authority:RUT,437,Bestillingslinje Ullensaker,,704,,76a300,ffffff
325,RUT:Line:436,RUT:Authority:RUT,436,Bestillings linje Ullensaker,,704,,76a300,ffffff
326,RUT:Line:434,RUT:Authority:RUT,434,Bestilling Ulvin - Minnesund,,704,,76a300,ffffff
327,RUT:Line:433,RUT:Authority:RUT,433,Servicelinje Eidsvoll - Bønsdalen,,704,,76a300,ffffff
328,RUT:Line:432,RUT:Authority:RUT,432,Servicelinje Finstad - Eidsvoll,,704,,76a300,ffffff
329,RUT:Line:430,RUT:Authority:RUT,430,Eidsvoll - Jessheim,,704,,76a300,ffffff
330,RUT:Line:449,RUT:Authority:RUT,449,Bestilling Feiring - Minnesund - Eidsvoll,,704,,76a300,ffffff
331,RUT:Line:447,RUT:Authority:RUT,447,Bestilling Hurdal,,704,,76a300,ffffff
332,RUT:Line:446,RUT:Authority:RUT,446,Hurdal - Jessheim/ Nannestad,,704,,76a300,ffffff
333,RUT:Line:445,RUT:Authority:RUT,445,Hurdal - Eidsvoll verk,,704,,76a300,ffffff
334,RUT:Line:444,RUT:Authority:RUT,444,Bestilling Gullverket - Frislet Eidsvoll,,704,,76a300,ffffff
335,RUT:Line:442,RUT:Authority:RUT,442,Gullverket - Eidsvoll,,704,,76a300,ffffff
336,RUT:Line:441,RUT:Authority:RUT,441,Eidsvoll - Årnes,,704,,76a300,ffffff
